timestep	cur_time	tot_time
0       	0.046   	0.046   
1       	0.093   	0.139   
2       	0.047   	0.186   
3       	0.045   	0.231   
4       	0.046   	0.277   
5       	0.123   	0.400   
6       	0.045   	0.445   
7       	0.044   	0.489   
8       	0.045   	0.534   
9       	0.038   	0.572   
10      	0.038   	0.610   
11      	0.038   	0.648   
12      	0.039   	0.687   
13      	0.057   	0.744   
14      	0.045   	0.789   
15      	0.044   	0.833   
16      	0.044   	0.877   
17      	0.044   	0.921   
18      	0.045   	0.966   
19      	0.044   	1.010   
20      	0.044   	1.054   
21      	0.044   	1.098   
22      	0.045   	1.143   
23      	0.044   	1.187   
24      	0.044   	1.231   
25      	0.043   	1.274   
26      	0.044   	1.318   
27      	0.044   	1.362   
28      	0.043   	1.405   
29      	0.042   	1.447   
30      	0.129   	1.576   
31      	0.044   	1.620   
32      	0.044   	1.664   
33      	0.044   	1.708   
34      	0.043   	1.751   
35      	0.043   	1.794   
36      	0.043   	1.837   
37      	0.043   	1.880   
38      	0.043   	1.923   
39      	0.044   	1.967   
40      	0.043   	2.010   
41      	0.043   	2.053   
42      	0.043   	2.096   
43      	0.043   	2.139   
44      	0.044   	2.183   
45      	0.044   	2.227   
46      	0.043   	2.270   
47      	0.043   	2.313   
48      	0.043   	2.356   
49      	0.044   	2.400   
50      	0.044   	2.444   
51      	0.043   	2.487   
52      	0.043   	2.530   
53      	0.043   	2.573   
54      	0.044   	2.617   
55      	0.043   	2.660   
56      	0.043   	2.703   
57      	0.043   	2.746   
58      	0.043   	2.789   
59      	0.044   	2.833   
60      	0.044   	2.877   
61      	0.044   	2.921   
62      	0.044   	2.965   
63      	0.043   	3.008   
64      	0.044   	3.052   
65      	0.077   	3.129   
66      	0.043   	3.172   
67      	0.044   	3.216   
68      	0.038   	3.254   
69      	0.108   	3.362   
70      	0.043   	3.405   
71      	0.043   	3.448   
72      	0.044   	3.492   
73      	0.043   	3.535   
74      	0.044   	3.579   
75      	0.043   	3.622   
76      	0.043   	3.665   
77      	0.044   	3.709   
78      	0.042   	3.751   
79      	0.042   	3.793   
80      	0.088   	3.881   
81      	0.043   	3.924   
82      	0.043   	3.967   
83      	0.043   	4.010   
84      	0.044   	4.054   
85      	0.043   	4.097   
86      	0.044   	4.141   
87      	0.044   	4.185   
88      	0.043   	4.228   
89      	0.044   	4.272   
90      	0.043   	4.315   
91      	0.043   	4.358   
92      	0.043   	4.401   
93      	0.044   	4.445   
94      	0.043   	4.488   
95      	0.043   	4.531   
96      	0.044   	4.575   
97      	0.043   	4.618   
98      	0.043   	4.661   
99      	0.043   	4.704   
