timestep	cur_time	tot_time
0       	0.047   	0.047   
1       	0.041   	0.088   
2       	0.041   	0.129   
3       	0.047   	0.176   
4       	0.047   	0.223   
5       	0.045   	0.268   
6       	0.045   	0.313   
7       	0.044   	0.357   
8       	0.044   	0.401   
9       	0.043   	0.444   
10      	0.043   	0.487   
11      	0.044   	0.531   
12      	0.044   	0.575   
13      	0.045   	0.620   
14      	0.044   	0.664   
15      	0.044   	0.708   
16      	0.045   	0.753   
17      	0.044   	0.797   
18      	0.045   	0.842   
19      	0.044   	0.886   
20      	0.045   	0.931   
21      	0.045   	0.976   
22      	0.043   	1.019   
23      	0.044   	1.063   
24      	0.044   	1.107   
25      	0.044   	1.151   
26      	0.044   	1.195   
27      	0.044   	1.239   
28      	0.044   	1.283   
29      	0.044   	1.327   
30      	0.044   	1.371   
31      	0.044   	1.415   
32      	0.043   	1.458   
33      	0.042   	1.500   
34      	0.044   	1.544   
35      	0.043   	1.587   
36      	0.044   	1.631   
37      	0.044   	1.675   
38      	0.044   	1.719   
39      	0.044   	1.763   
40      	0.108   	1.871   
41      	0.043   	1.914   
42      	0.044   	1.958   
43      	0.044   	2.002   
44      	0.044   	2.046   
45      	0.043   	2.089   
46      	0.044   	2.133   
47      	0.044   	2.177   
48      	0.043   	2.220   
49      	0.043   	2.263   
50      	0.044   	2.307   
51      	0.044   	2.351   
52      	0.044   	2.395   
53      	0.044   	2.439   
54      	0.044   	2.483   
55      	0.044   	2.527   
56      	0.044   	2.571   
57      	0.044   	2.615   
58      	0.044   	2.659   
59      	0.044   	2.703   
60      	0.044   	2.747   
61      	0.124   	2.871   
62      	0.044   	2.915   
63      	0.044   	2.959   
64      	0.044   	3.003   
65      	0.044   	3.047   
66      	0.044   	3.091   
67      	0.044   	3.135   
68      	0.119   	3.254   
69      	0.044   	3.298   
70      	0.042   	3.340   
71      	0.044   	3.384   
72      	0.044   	3.428   
73      	0.044   	3.472   
74      	0.044   	3.516   
75      	0.044   	3.560   
76      	0.043   	3.603   
77      	0.043   	3.646   
78      	0.043   	3.689   
79      	0.044   	3.733   
80      	0.044   	3.777   
81      	0.044   	3.821   
82      	0.044   	3.865   
83      	0.043   	3.908   
84      	0.042   	3.950   
85      	0.042   	3.992   
86      	0.044   	4.036   
87      	0.044   	4.080   
88      	0.044   	4.124   
89      	0.044   	4.168   
90      	0.044   	4.212   
91      	0.060   	4.272   
92      	0.103   	4.375   
93      	0.039   	4.414   
94      	0.038   	4.452   
95      	0.038   	4.490   
96      	0.038   	4.528   
97      	0.044   	4.572   
98      	0.057   	4.629   
99      	0.044   	4.673   
