timestep	cur_time	tot_time
0       	0.047   	0.047   
1       	0.048   	0.095   
2       	0.047   	0.142   
3       	0.046   	0.188   
4       	0.047   	0.235   
5       	0.045   	0.280   
6       	0.045   	0.325   
7       	0.045   	0.370   
8       	0.044   	0.414   
9       	0.045   	0.459   
10      	0.045   	0.504   
11      	0.045   	0.549   
12      	0.045   	0.594   
13      	0.045   	0.639   
14      	0.045   	0.684   
15      	0.044   	0.728   
16      	0.045   	0.773   
17      	0.045   	0.818   
18      	0.045   	0.863   
19      	0.045   	0.908   
20      	0.045   	0.953   
21      	0.045   	0.998   
22      	0.044   	1.042   
23      	0.044   	1.086   
24      	0.044   	1.130   
25      	0.044   	1.174   
26      	0.043   	1.217   
27      	0.043   	1.260   
28      	0.044   	1.304   
29      	0.044   	1.348   
30      	0.044   	1.392   
31      	0.044   	1.436   
32      	0.044   	1.480   
33      	0.044   	1.524   
34      	0.044   	1.568   
35      	0.044   	1.612   
36      	0.044   	1.656   
37      	0.044   	1.700   
38      	0.044   	1.744   
39      	0.044   	1.788   
40      	0.044   	1.832   
41      	0.043   	1.875   
42      	0.043   	1.918   
43      	0.044   	1.962   
44      	0.044   	2.006   
45      	0.044   	2.050   
46      	0.044   	2.094   
47      	0.044   	2.138   
48      	0.044   	2.182   
49      	0.044   	2.226   
50      	0.043   	2.269   
51      	0.043   	2.312   
52      	0.095   	2.407   
53      	0.044   	2.451   
54      	0.044   	2.495   
55      	0.043   	2.538   
56      	0.038   	2.576   
57      	0.044   	2.620   
58      	0.044   	2.664   
59      	0.044   	2.708   
60      	0.044   	2.752   
61      	0.043   	2.795   
62      	0.107   	2.902   
63      	0.044   	2.946   
64      	0.043   	2.989   
65      	0.043   	3.032   
66      	0.044   	3.076   
67      	0.044   	3.120   
68      	0.044   	3.164   
69      	0.043   	3.207   
70      	0.103   	3.310   
71      	0.044   	3.354   
72      	0.044   	3.398   
73      	0.044   	3.442   
74      	0.044   	3.486   
75      	0.043   	3.529   
76      	0.043   	3.572   
77      	0.044   	3.616   
78      	0.044   	3.660   
79      	0.038   	3.698   
80      	0.044   	3.742   
81      	0.044   	3.786   
82      	0.044   	3.830   
83      	0.044   	3.874   
84      	0.044   	3.918   
85      	0.044   	3.962   
86      	0.043   	4.005   
87      	0.044   	4.049   
88      	0.044   	4.093   
89      	0.044   	4.137   
90      	0.044   	4.181   
91      	0.043   	4.224   
92      	0.043   	4.267   
93      	0.044   	4.311   
94      	0.043   	4.354   
95      	0.044   	4.398   
96      	0.044   	4.442   
97      	0.044   	4.486   
98      	0.043   	4.529   
99      	0.044   	4.573   
