timestep	cur_time	tot_time
0       	0.046   	0.046   
1       	0.047   	0.093   
2       	0.047   	0.140   
3       	0.047   	0.187   
4       	0.046   	0.233   
5       	0.046   	0.279   
6       	0.045   	0.324   
7       	0.044   	0.368   
8       	0.045   	0.413   
9       	0.045   	0.458   
10      	0.044   	0.502   
11      	0.045   	0.547   
12      	0.045   	0.592   
13      	0.044   	0.636   
14      	0.044   	0.680   
15      	0.045   	0.725   
16      	0.045   	0.770   
17      	0.044   	0.814   
18      	0.045   	0.859   
19      	0.044   	0.903   
20      	0.045   	0.948   
21      	0.045   	0.993   
22      	0.045   	1.038   
23      	0.045   	1.083   
24      	0.045   	1.128   
25      	0.044   	1.172   
26      	0.045   	1.217   
27      	0.044   	1.261   
28      	0.044   	1.305   
29      	0.044   	1.349   
30      	0.044   	1.393   
31      	0.044   	1.437   
32      	0.044   	1.481   
33      	0.043   	1.524   
34      	0.044   	1.568   
35      	0.044   	1.612   
36      	0.042   	1.654   
37      	0.044   	1.698   
38      	0.044   	1.742   
39      	0.044   	1.786   
40      	0.044   	1.830   
41      	0.044   	1.874   
42      	0.043   	1.917   
43      	0.044   	1.961   
44      	0.044   	2.005   
45      	0.043   	2.048   
46      	0.044   	2.092   
47      	0.044   	2.136   
48      	0.044   	2.180   
49      	0.044   	2.224   
50      	0.044   	2.268   
51      	0.044   	2.312   
52      	0.044   	2.356   
53      	0.043   	2.399   
54      	0.044   	2.443   
55      	0.044   	2.487   
56      	0.044   	2.531   
57      	0.044   	2.575   
58      	0.044   	2.619   
59      	0.044   	2.663   
60      	0.042   	2.705   
61      	0.044   	2.749   
62      	0.044   	2.793   
63      	0.044   	2.837   
64      	0.044   	2.881   
65      	0.044   	2.925   
66      	0.044   	2.969   
67      	0.044   	3.013   
68      	0.044   	3.057   
69      	0.044   	3.101   
70      	0.044   	3.145   
71      	0.044   	3.189   
72      	0.044   	3.233   
73      	0.069   	3.302   
74      	0.044   	3.346   
75      	0.044   	3.390   
76      	0.044   	3.434   
77      	0.044   	3.478   
78      	0.044   	3.522   
79      	0.044   	3.566   
80      	0.043   	3.609   
81      	0.044   	3.653   
82      	0.043   	3.696   
83      	0.044   	3.740   
84      	0.039   	3.779   
85      	0.042   	3.821   
86      	0.044   	3.865   
87      	0.112   	3.977   
88      	0.044   	4.021   
89      	0.044   	4.065   
90      	0.044   	4.109   
91      	0.044   	4.153   
92      	0.043   	4.196   
93      	0.043   	4.239   
94      	0.044   	4.283   
95      	0.044   	4.327   
96      	0.044   	4.371   
97      	0.042   	4.413   
98      	0.044   	4.457   
99      	0.044   	4.501   
