timestep	cur_time	tot_time
0       	0.046   	0.046   
1       	0.047   	0.093   
2       	0.047   	0.140   
3       	0.046   	0.186   
4       	0.046   	0.232   
5       	0.046   	0.278   
6       	0.045   	0.323   
7       	0.044   	0.367   
8       	0.045   	0.412   
9       	0.044   	0.456   
10      	0.044   	0.500   
11      	0.045   	0.545   
12      	0.044   	0.589   
13      	0.044   	0.633   
14      	0.043   	0.676   
15      	0.044   	0.720   
16      	0.045   	0.765   
17      	0.044   	0.809   
18      	0.044   	0.853   
19      	0.044   	0.897   
20      	0.045   	0.942   
21      	0.045   	0.987   
22      	0.045   	1.032   
23      	0.044   	1.076   
24      	0.044   	1.120   
25      	0.107   	1.227   
26      	0.044   	1.271   
27      	0.044   	1.315   
28      	0.043   	1.358   
29      	0.044   	1.402   
30      	0.044   	1.446   
31      	0.043   	1.489   
32      	0.044   	1.533   
33      	0.043   	1.576   
34      	0.044   	1.620   
35      	0.043   	1.663   
36      	0.106   	1.769   
37      	0.044   	1.813   
38      	0.044   	1.857   
39      	0.042   	1.899   
40      	0.108   	2.007   
41      	0.044   	2.051   
42      	0.044   	2.095   
43      	0.044   	2.139   
44      	0.109   	2.248   
45      	0.043   	2.291   
46      	0.043   	2.334   
47      	0.044   	2.378   
48      	0.044   	2.422   
49      	0.043   	2.465   
50      	0.043   	2.508   
51      	0.043   	2.551   
52      	0.042   	2.593   
53      	0.044   	2.637   
54      	0.043   	2.680   
55      	0.044   	2.724   
56      	0.043   	2.767   
57      	0.043   	2.810   
58      	0.043   	2.853   
59      	0.043   	2.896   
60      	0.044   	2.940   
61      	0.044   	2.984   
62      	0.044   	3.028   
63      	0.106   	3.134   
64      	0.043   	3.177   
65      	0.043   	3.220   
66      	0.043   	3.263   
67      	0.043   	3.306   
68      	0.043   	3.349   
69      	0.044   	3.393   
70      	0.044   	3.437   
71      	0.044   	3.481   
72      	0.044   	3.525   
73      	0.043   	3.568   
74      	0.044   	3.612   
75      	0.043   	3.655   
76      	0.042   	3.697   
77      	0.044   	3.741   
78      	0.044   	3.785   
79      	0.044   	3.829   
80      	0.043   	3.872   
81      	0.043   	3.915   
82      	0.043   	3.958   
83      	0.043   	4.001   
84      	0.043   	4.044   
85      	0.044   	4.088   
86      	0.043   	4.131   
87      	0.043   	4.174   
88      	0.044   	4.218   
89      	0.042   	4.260   
90      	0.042   	4.302   
91      	0.043   	4.345   
92      	0.043   	4.388   
93      	0.044   	4.432   
94      	0.043   	4.475   
95      	0.044   	4.519   
96      	0.044   	4.563   
97      	0.044   	4.607   
98      	0.043   	4.650   
99      	0.043   	4.693   
