timestep	cur_time	tot_time
0       	0.114   	0.114   
1       	0.047   	0.161   
2       	0.047   	0.208   
3       	0.046   	0.254   
4       	0.047   	0.301   
5       	0.046   	0.347   
6       	0.045   	0.392   
7       	0.045   	0.437   
8       	0.045   	0.482   
9       	0.045   	0.527   
10      	0.045   	0.572   
11      	0.045   	0.617   
12      	0.044   	0.661   
13      	0.045   	0.706   
14      	0.044   	0.750   
15      	0.044   	0.794   
16      	0.045   	0.839   
17      	0.044   	0.883   
18      	0.045   	0.928   
19      	0.044   	0.972   
20      	0.115   	1.087   
21      	0.045   	1.132   
22      	0.045   	1.177   
23      	0.045   	1.222   
24      	0.044   	1.266   
25      	0.044   	1.310   
26      	0.044   	1.354   
27      	0.044   	1.398   
28      	0.044   	1.442   
29      	0.045   	1.487   
30      	0.043   	1.530   
31      	0.043   	1.573   
32      	0.106   	1.679   
33      	0.044   	1.723   
34      	0.044   	1.767   
35      	0.043   	1.810   
36      	0.043   	1.853   
37      	0.044   	1.897   
38      	0.044   	1.941   
39      	0.044   	1.985   
40      	0.044   	2.029   
41      	0.044   	2.073   
42      	0.043   	2.116   
43      	0.044   	2.160   
44      	0.043   	2.203   
45      	0.044   	2.247   
46      	0.043   	2.290   
47      	0.044   	2.334   
48      	0.043   	2.377   
49      	0.044   	2.421   
50      	0.044   	2.465   
51      	0.044   	2.509   
52      	0.044   	2.553   
53      	0.044   	2.597   
54      	0.043   	2.640   
55      	0.044   	2.684   
56      	0.042   	2.726   
57      	0.044   	2.770   
58      	0.042   	2.812   
59      	0.043   	2.855   
60      	0.044   	2.899   
61      	0.044   	2.943   
62      	0.044   	2.987   
63      	0.044   	3.031   
64      	0.044   	3.075   
65      	0.043   	3.118   
66      	0.044   	3.162   
67      	0.044   	3.206   
68      	0.043   	3.249   
69      	0.044   	3.293   
70      	0.044   	3.337   
71      	0.044   	3.381   
72      	0.043   	3.424   
73      	0.044   	3.468   
74      	0.044   	3.512   
75      	0.043   	3.555   
76      	0.107   	3.662   
77      	0.044   	3.706   
78      	0.044   	3.750   
79      	0.043   	3.793   
80      	0.043   	3.836   
81      	0.043   	3.879   
82      	0.043   	3.922   
83      	0.044   	3.966   
84      	0.043   	4.009   
85      	0.052   	4.061   
86      	0.044   	4.105   
87      	0.108   	4.213   
88      	0.044   	4.257   
89      	0.044   	4.301   
90      	0.043   	4.344   
91      	0.044   	4.388   
92      	0.044   	4.432   
93      	0.044   	4.476   
94      	0.042   	4.518   
95      	0.042   	4.560   
96      	0.044   	4.604   
97      	0.151   	4.755   
98      	0.044   	4.799   
99      	0.043   	4.842   
