timestep	cur_time	tot_time
0       	0.066   	0.066   
1       	0.047   	0.113   
2       	0.103   	0.216   
3       	0.047   	0.263   
4       	0.046   	0.309   
5       	0.046   	0.355   
6       	0.044   	0.399   
7       	0.045   	0.444   
8       	0.109   	0.553   
9       	0.045   	0.598   
10      	0.045   	0.643   
11      	0.045   	0.688   
12      	0.044   	0.732   
13      	0.043   	0.775   
14      	0.044   	0.819   
15      	0.044   	0.863   
16      	0.045   	0.908   
17      	0.045   	0.953   
18      	0.045   	0.998   
19      	0.044   	1.042   
20      	0.045   	1.087   
21      	0.044   	1.131   
22      	0.044   	1.175   
23      	0.044   	1.219   
24      	0.045   	1.264   
25      	0.043   	1.307   
26      	0.043   	1.350   
27      	0.042   	1.392   
28      	0.044   	1.436   
29      	0.044   	1.480   
30      	0.044   	1.524   
31      	0.044   	1.568   
32      	0.044   	1.612   
33      	0.043   	1.655   
34      	0.112   	1.767   
35      	0.044   	1.811   
36      	0.044   	1.855   
37      	0.042   	1.897   
38      	0.043   	1.940   
39      	0.043   	1.983   
40      	0.044   	2.027   
41      	0.044   	2.071   
42      	0.043   	2.114   
43      	0.044   	2.158   
44      	0.043   	2.201   
45      	0.043   	2.244   
46      	0.043   	2.287   
47      	0.043   	2.330   
48      	0.044   	2.374   
49      	0.100   	2.474   
50      	0.044   	2.518   
51      	0.043   	2.561   
52      	0.043   	2.604   
53      	0.044   	2.648   
54      	0.043   	2.691   
55      	0.043   	2.734   
56      	0.044   	2.778   
57      	0.043   	2.821   
58      	0.109   	2.930   
59      	0.043   	2.973   
60      	0.044   	3.017   
61      	0.043   	3.060   
62      	0.044   	3.104   
63      	0.042   	3.146   
64      	0.044   	3.190   
65      	0.044   	3.234   
66      	0.043   	3.277   
67      	0.043   	3.320   
68      	0.044   	3.364   
69      	0.044   	3.408   
70      	0.044   	3.452   
71      	0.044   	3.496   
72      	0.044   	3.540   
73      	0.043   	3.583   
74      	0.044   	3.627   
75      	0.043   	3.670   
76      	0.044   	3.714   
77      	0.044   	3.758   
78      	0.044   	3.802   
79      	0.044   	3.846   
80      	0.044   	3.890   
81      	0.044   	3.934   
82      	0.044   	3.978   
83      	0.044   	4.022   
84      	0.044   	4.066   
85      	0.044   	4.110   
86      	0.043   	4.153   
87      	0.043   	4.196   
88      	0.044   	4.240   
89      	0.044   	4.284   
90      	0.044   	4.328   
91      	0.043   	4.371   
92      	0.044   	4.415   
93      	0.043   	4.458   
94      	0.038   	4.496   
95      	0.043   	4.539   
96      	0.044   	4.583   
97      	0.044   	4.627   
98      	0.044   	4.671   
99      	0.043   	4.714   
