timestep	cur_time	tot_time
0       	0.047   	0.047   
1       	0.047   	0.094   
2       	0.047   	0.141   
3       	0.046   	0.187   
4       	0.046   	0.233   
5       	0.046   	0.279   
6       	0.108   	0.387   
7       	0.046   	0.433   
8       	0.045   	0.478   
9       	0.046   	0.524   
10      	0.046   	0.570   
11      	0.046   	0.616   
12      	0.046   	0.662   
13      	0.046   	0.708   
14      	0.046   	0.754   
15      	0.046   	0.800   
16      	0.046   	0.846   
17      	0.046   	0.892   
18      	0.047   	0.939   
19      	0.045   	0.984   
20      	0.045   	1.029   
21      	0.046   	1.075   
22      	0.046   	1.121   
23      	0.046   	1.167   
24      	0.046   	1.213   
25      	0.046   	1.259   
26      	0.046   	1.305   
27      	0.040   	1.345   
28      	0.039   	1.384   
29      	0.040   	1.424   
30      	0.060   	1.484   
31      	0.040   	1.524   
32      	0.059   	1.583   
33      	0.047   	1.630   
34      	0.046   	1.676   
35      	0.046   	1.722   
36      	0.045   	1.767   
37      	0.046   	1.813   
38      	0.046   	1.859   
39      	0.045   	1.904   
40      	0.046   	1.950   
41      	0.045   	1.995   
42      	0.045   	2.040   
43      	0.045   	2.085   
44      	0.045   	2.130   
45      	0.045   	2.175   
46      	0.045   	2.220   
47      	0.046   	2.266   
48      	0.044   	2.310   
49      	0.045   	2.355   
50      	0.045   	2.400   
51      	0.045   	2.445   
52      	0.045   	2.490   
53      	0.045   	2.535   
54      	0.046   	2.581   
55      	0.045   	2.626   
56      	0.114   	2.740   
57      	0.045   	2.785   
58      	0.046   	2.831   
59      	0.045   	2.876   
60      	0.044   	2.920   
61      	0.044   	2.964   
62      	0.045   	3.009   
63      	0.046   	3.055   
64      	0.046   	3.101   
65      	0.045   	3.146   
66      	0.045   	3.191   
67      	0.046   	3.237   
68      	0.046   	3.283   
69      	0.046   	3.329   
70      	0.045   	3.374   
71      	0.045   	3.419   
72      	0.045   	3.464   
73      	0.045   	3.509   
74      	0.045   	3.554   
75      	0.045   	3.599   
76      	0.045   	3.644   
77      	0.046   	3.690   
78      	0.039   	3.729   
79      	0.045   	3.774   
80      	0.045   	3.819   
81      	0.045   	3.864   
82      	0.045   	3.909   
83      	0.039   	3.948   
84      	0.044   	3.992   
85      	0.044   	4.036   
86      	0.045   	4.081   
87      	0.044   	4.125   
88      	0.044   	4.169   
89      	0.045   	4.214   
90      	0.045   	4.259   
91      	0.045   	4.304   
92      	0.044   	4.348   
93      	0.045   	4.393   
94      	0.044   	4.437   
95      	0.045   	4.482   
96      	0.045   	4.527   
97      	0.045   	4.572   
98      	0.045   	4.617   
99      	0.044   	4.661   
