timestep	cur_time	tot_time
0       	0.048   	0.048   
1       	0.047   	0.095   
2       	0.047   	0.142   
3       	0.046   	0.188   
4       	0.046   	0.234   
5       	0.045   	0.279   
6       	0.045   	0.324   
7       	0.046   	0.370   
8       	0.045   	0.415   
9       	0.046   	0.461   
10      	0.045   	0.506   
11      	0.046   	0.552   
12      	0.046   	0.598   
13      	0.046   	0.644   
14      	0.046   	0.690   
15      	0.046   	0.736   
16      	0.046   	0.782   
17      	0.045   	0.827   
18      	0.046   	0.873   
19      	0.045   	0.918   
20      	0.046   	0.964   
21      	0.046   	1.010   
22      	0.047   	1.057   
23      	0.046   	1.103   
24      	0.047   	1.150   
25      	0.046   	1.196   
26      	0.046   	1.242   
27      	0.046   	1.288   
28      	0.045   	1.333   
29      	0.046   	1.379   
30      	0.046   	1.425   
31      	0.047   	1.472   
32      	0.046   	1.518   
33      	0.047   	1.565   
34      	0.046   	1.611   
35      	0.045   	1.656   
36      	0.045   	1.701   
37      	0.046   	1.747   
38      	0.046   	1.793   
39      	0.045   	1.838   
40      	0.046   	1.884   
41      	0.045   	1.929   
42      	0.045   	1.974   
43      	0.045   	2.019   
44      	0.045   	2.064   
45      	0.045   	2.109   
46      	0.045   	2.154   
47      	0.044   	2.198   
48      	0.044   	2.242   
49      	0.120   	2.362   
50      	0.045   	2.407   
51      	0.045   	2.452   
52      	0.046   	2.498   
53      	0.045   	2.543   
54      	0.045   	2.588   
55      	0.045   	2.633   
56      	0.046   	2.679   
57      	0.046   	2.725   
58      	0.046   	2.771   
59      	0.045   	2.816   
60      	0.046   	2.862   
61      	0.046   	2.908   
62      	0.039   	2.947   
63      	0.044   	2.991   
64      	0.039   	3.030   
65      	0.046   	3.076   
66      	0.045   	3.121   
67      	0.046   	3.167   
68      	0.046   	3.213   
69      	0.045   	3.258   
70      	0.046   	3.304   
71      	0.046   	3.350   
72      	0.045   	3.395   
73      	0.045   	3.440   
74      	0.044   	3.484   
75      	0.045   	3.529   
76      	0.045   	3.574   
77      	0.046   	3.620   
78      	0.044   	3.664   
79      	0.046   	3.710   
80      	0.045   	3.755   
81      	0.045   	3.800   
82      	0.045   	3.845   
83      	0.045   	3.890   
84      	0.045   	3.935   
85      	0.045   	3.980   
86      	0.044   	4.024   
87      	0.082   	4.106   
88      	0.044   	4.150   
89      	0.044   	4.194   
90      	0.044   	4.238   
91      	0.044   	4.282   
92      	0.044   	4.326   
93      	0.045   	4.371   
94      	0.044   	4.415   
95      	0.045   	4.460   
96      	0.045   	4.505   
97      	0.045   	4.550   
98      	0.045   	4.595   
99      	0.043   	4.638   
