timestep	cur_time	tot_time
0       	0.048   	0.048   
1       	0.047   	0.095   
2       	0.046   	0.141   
3       	0.046   	0.187   
4       	0.046   	0.233   
5       	0.046   	0.279   
6       	0.046   	0.325   
7       	0.046   	0.371   
8       	0.045   	0.416   
9       	0.046   	0.462   
10      	0.045   	0.507   
11      	0.046   	0.553   
12      	0.045   	0.598   
13      	0.046   	0.644   
14      	0.046   	0.690   
15      	0.046   	0.736   
16      	0.046   	0.782   
17      	0.045   	0.827   
18      	0.116   	0.943   
19      	0.044   	0.987   
20      	0.046   	1.033   
21      	0.046   	1.079   
22      	0.047   	1.126   
23      	0.104   	1.230   
24      	0.046   	1.276   
25      	0.046   	1.322   
26      	0.046   	1.368   
27      	0.046   	1.414   
28      	0.046   	1.460   
29      	0.046   	1.506   
30      	0.046   	1.552   
31      	0.046   	1.598   
32      	0.046   	1.644   
33      	0.047   	1.691   
34      	0.106   	1.797   
35      	0.046   	1.843   
36      	0.045   	1.888   
37      	0.046   	1.934   
38      	0.046   	1.980   
39      	0.045   	2.025   
40      	0.046   	2.071   
41      	0.045   	2.116   
42      	0.045   	2.161   
43      	0.044   	2.205   
44      	0.045   	2.250   
45      	0.045   	2.295   
46      	0.045   	2.340   
47      	0.045   	2.385   
48      	0.109   	2.494   
49      	0.045   	2.539   
50      	0.045   	2.584   
51      	0.045   	2.629   
52      	0.045   	2.674   
53      	0.045   	2.719   
54      	0.046   	2.765   
55      	0.045   	2.810   
56      	0.112   	2.922   
57      	0.045   	2.967   
58      	0.045   	3.012   
59      	0.045   	3.057   
60      	0.045   	3.102   
61      	0.045   	3.147   
62      	0.046   	3.193   
63      	0.046   	3.239   
64      	0.045   	3.284   
65      	0.046   	3.330   
66      	0.045   	3.375   
67      	0.045   	3.420   
68      	0.046   	3.466   
69      	0.045   	3.511   
70      	0.045   	3.556   
71      	0.118   	3.674   
72      	0.045   	3.719   
73      	0.046   	3.765   
74      	0.045   	3.810   
75      	0.045   	3.855   
76      	0.046   	3.901   
77      	0.045   	3.946   
78      	0.044   	3.990   
79      	0.044   	4.034   
80      	0.045   	4.079   
81      	0.044   	4.123   
82      	0.045   	4.168   
83      	0.044   	4.212   
84      	0.044   	4.256   
85      	0.045   	4.301   
86      	0.045   	4.346   
87      	0.044   	4.390   
88      	0.044   	4.434   
89      	0.045   	4.479   
90      	0.044   	4.523   
91      	0.045   	4.568   
92      	0.044   	4.612   
93      	0.045   	4.657   
94      	0.044   	4.701   
95      	0.045   	4.746   
96      	0.045   	4.791   
97      	0.045   	4.836   
98      	0.045   	4.881   
99      	0.096   	4.977   
